,index,rrrp3.sa,rrrp3.sa_quant,rrrp3.sa_invest,suzb3.sa,suzb3.sa_quant,suzb3.sa_invest,lren3.sa,lren3.sa_quant,lren3.sa_invest,cyre3.sa,cyre3.sa_quant,cyre3.sa_invest,enat3.sa,enat3.sa_quant,enat3.sa_invest,prio3.sa,prio3.sa_quant,prio3.sa_invest,tots3.sa,tots3.sa_quant,tots3.sa_invest,elet3.sa,elet3.sa_quant,elet3.sa_invest,raiz4.sa,raiz4.sa_quant,raiz4.sa_invest,bbas3.sa,bbas3.sa_quant,bbas3.sa_invest,petr4.sa,petr4.sa_quant,petr4.sa_invest,ntco3.sa,ntco3.sa_quant,ntco3.sa_invest,cple6.sa,cple6.sa_quant,cple6.sa_invest,cple3.sa,cple3.sa_quant,cple3.sa_invest,vale3.sa,vale3.sa_quant,vale3.sa_invest,Date,rrrp3.sa_total,suzb3.sa_total,lren3.sa_total,cyre3.sa_total,enat3.sa_total,prio3.sa_total,tots3.sa_total,elet3.sa_total,raiz4.sa_total,bbas3.sa_total,petr4.sa_total,ntco3.sa_total,cple6.sa_total,cple3.sa_total,vale3.sa_total,total_yield,total_invest,yield
10,2022-07-12,30.280000686645508,100,3650,47.599998474121094,0,0.0,24.18000030517578,0,0.0,13.029999732971191,0,0.0,16.65999984741211,0,0,22.239999771118164,0,0.0,23.690000534057617,0,0,42.88999938964844,0,0.0,4.019999980926514,0,0,33.0099983215332,0,0.0,28.229999542236328,0,0.0,14.65999984741211,0,0,6.900000095367432,0,0,6.429999828338623,0,0,73.05000305175781,0,0,2022-07-12,3028.000068664551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3028.000068664551,3650.0,-17.04
11,2022-07-13,28.600000381469727,100,3650,46.2599983215332,0,0.0,24.600000381469727,0,0.0,12.9399995803833,0,0.0,16.34000015258789,0,0,21.59000015258789,0,0.0,23.610000610351562,0,0,43.189998626708984,0,0.0,4.139999866485596,0,0,32.650001525878906,0,0.0,28.25,0,0.0,15.09000015258789,0,0,6.800000190734863,0,0,6.320000171661377,0,0,72.80000305175781,0,0,2022-07-13,2860.0000381469727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2860.0000381469727,3650.0,-21.64
12,2022-07-14,29.110000610351562,100,3650,45.0,0,0.0,24.739999771118164,0,0.0,12.170000076293945,0,0.0,15.59000015258789,0,0,20.760000228881836,0,0.0,23.239999771118164,0,0,43.599998474121094,0,0.0,4.289999961853027,0,0,32.61000061035156,0,0.0,27.489999771118164,0,0.0,15.149999618530273,0,0,6.820000171661377,0,0,6.369999885559082,0,0,67.94999694824219,0,0,2022-07-14,2911.0000610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2911.0000610351562,3650.0,-20.25
13,2022-07-15,28.739999771118164,100,3650,43.939998626708984,0,0.0,25.06999969482422,0,0.0,12.149999618530273,0,0.0,15.65999984741211,0,0,20.700000762939453,0,0.0,23.260000228881836,0,0,44.04999923706055,0,0.0,4.420000076293945,0,0,33.279998779296875,0,0.0,27.959999084472656,0,0.0,15.649999618530273,0,0,6.920000076293945,0,0,6.420000076293945,0,0,68.37000274658203,0,0,2022-07-15,2873.9999771118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2873.9999771118164,3650.0,-21.26
14,2022-07-18,29.389999389648438,100,3650,43.7599983215332,0,0.0,25.040000915527344,0,0.0,12.069999694824219,0,0.0,16.549999237060547,0,0,22.09000015258789,0,0.0,23.389999389648438,0,0,43.88999938964844,0,0.0,4.300000190734863,0,0,33.75,0,0.0,28.600000381469727,0,0.0,15.510000228881836,0,0,6.820000171661377,0,0,6.360000133514404,0,0,68.7300033569336,0,0,2022-07-18,2938.9999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2938.9999389648438,3650.0,-19.48
15,2022-07-19,30.440000534057617,100,3650,45.95000076293945,0,0.0,24.739999771118164,0,0.0,12.130000114440918,0,0.0,16.889999389648438,0,0,22.360000610351562,0,0.0,24.670000076293945,0,0,44.220001220703125,0,0.0,4.329999923706055,0,0,34.65999984741211,0,0.0,29.18000030517578,0,0.0,15.9399995803833,0,0,6.829999923706055,0,0,6.309999942779541,0,0,68.87999725341797,0,0,2022-07-19,3044.0000534057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3044.0000534057617,3650.0,-16.6
16,2022-07-20,31.639999389648438,100,3650,45.0,0,0.0,25.1200008392334,0,0.0,12.229999542236328,0,0.0,16.899999618530273,0,0,22.260000228881836,0,0.0,25.8799991607666,0,0,44.369998931884766,0,0.0,4.489999771118164,0,0,34.66999816894531,0,0.0,29.170000076293945,0,0.0,16.079999923706055,0,0,6.849999904632568,0,0,6.309999942779541,0,0,67.38999938964844,0,0,2022-07-20,3163.9999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3163.9999389648438,3650.0,-13.32
17,2022-07-21,30.450000762939453,100,3650,45.63999938964844,0,0.0,24.81999969482422,0,0.0,12.34000015258789,0,0.0,16.639999389648438,0,0,22.84000015258789,0,0.0,26.3700008392334,0,0,44.560001373291016,0,0.0,4.449999809265137,0,0,34.90999984741211,0,0.0,29.020000457763672,0,0.0,15.729999542236328,0,0,6.849999904632568,0,0,6.329999923706055,0,0,68.56999969482422,0,0,2022-07-21,3045.0000762939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3045.0000762939453,3650.0,-16.58
18,2022-07-22,29.43000030517578,100,3650,46.90999984741211,0,0.0,24.420000076293945,0,0.0,12.260000228881836,0,0.0,16.229999542236328,0,0,22.670000076293945,0,0.0,25.889999389648438,0,0,44.630001068115234,0,0.0,4.199999809265137,0,0,34.66999816894531,0,0.0,29.329999923706055,0,0.0,15.84000015258789,0,0,6.900000095367432,0,0,6.349999904632568,0,0,69.20999908447266,0,0,2022-07-22,2943.000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2943.000030517578,3650.0,-19.37
19,2022-07-25,30.260000228881836,100,3650,46.13999938964844,0,0.0,24.700000762939453,0,0.0,12.25,0,0.0,16.809999465942383,0,0,23.610000610351562,0,0.0,25.850000381469727,0,0,44.849998474121094,0,0.0,4.150000095367432,0,0,35.20000076293945,0,0.0,30.700000762939453,0,0.0,15.369999885559082,0,0,7.010000228881836,0,0,6.360000133514404,0,0,70.48999786376953,0,0,2022-07-25,3026.0000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026.0000228881836,3650.0,-17.1
20,2022-07-26,29.940000534057617,100,3650,45.52000045776367,0,0.0,24.040000915527344,0,0.0,12.010000228881836,0,0.0,17.5,0,0,23.739999771118164,0,0.0,25.079999923706055,0,0,44.650001525878906,0,0.0,4.170000076293945,0,0,35.31999969482422,0,0.0,31.010000228881836,0,0.0,14.800000190734863,0,0,6.849999904632568,0,0,6.309999942779541,0,0,70.36000061035156,0,0,2022-07-26,2994.0000534057617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994.0000534057617,3650.0,-17.97
21,2022-07-27,30.670000076293945,100,3650,46.849998474121094,0,0.0,25.219999313354492,0,0.0,12.350000381469727,0,0.0,17.8700008392334,0,0,23.690000534057617,0,0.0,26.139999389648438,0,0,45.369998931884766,0,0.0,4.489999771118164,0,0,35.54999923706055,0,0.0,31.350000381469727,0,0.0,15.34000015258789,0,0,6.880000114440918,0,0,6.329999923706055,0,0,70.5199966430664,0,0,2022-07-27,3067.0000076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.0000076293945,3650.0,-15.97
22,2022-07-28,31.829999923706055,100,3650,46.95000076293945,5,234.85,25.969999313354492,8,200.48,12.829999923706055,0,0.0,18.020000457763672,0,0,23.790000915527344,0,0.0,26.3799991607666,0,0,45.45000076293945,0,0.0,4.489999771118164,0,0,36.209999084472656,0,0.0,32.290000915527344,0,0.0,16.260000228881836,0,0,6.940000057220459,0,0,6.380000114440918,0,0,70.69000244140625,0,0,2022-07-28,3182.9999923706055,234.75000381469727,207.75999450683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625.5099906921387,4085.33,-11.26
23,2022-07-29,34.02000045776367,100,3650,48.290000915527344,5,234.85,25.290000915527344,8,200.48,12.630000114440918,30,422.1,18.530000686645508,100,1866,24.219999313354492,0,0.0,26.3700008392334,0,0,45.810001373291016,0,0.0,4.409999847412109,0,0,35.970001220703125,0,0.0,34.150001525878906,0,0.0,15.579999923706055,0,0,6.989999771118164,0,0,6.46999979019165,0,0,69.75,0,0,2022-07-29,3402.000045776367,241.45000457763672,202.32000732421875,378.90000343322754,1853.0000686645508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6077.670129776001,6373.43,-4.64
24,2022-08-01,32.400001525878906,100,3650,47.470001220703125,5,234.85,25.34000015258789,8,200.48,12.930000305175781,30,422.1,17.75,100,1866,23.3700008392334,0,0.0,26.200000762939453,0,0,46.5,0,0.0,4.409999847412109,0,0,35.68000030517578,0,0.0,33.68000030517578,0,0.0,15.34000015258789,0,0,6.889999866485596,0,0,6.460000038146973,0,0,68.08000183105469,0,0,2022-08-01,3240.0001525878906,237.35000610351562,202.72000122070312,387.90000915527344,1775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5842.970169067383,6373.43,-8.32
25,2022-08-02,32.939998626708984,100,3650,47.86000061035156,5,234.85,25.56999969482422,8,200.48,12.539999961853027,30,422.1,18.139999389648438,100,1866,23.389999389648438,0,0.0,26.40999984741211,0,0,46.86000061035156,0,0.0,4.610000133514404,0,0,36.15999984741211,0,0.0,33.83000183105469,0,0.0,15.760000228881836,0,0,6.929999828338623,0,0,6.489999771118164,0,0,70.25,0,0,2022-08-02,3293.9998626708984,239.3000030517578,204.55999755859375,376.1999988555908,1813.9999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5928.059801101685,6373.43,-6.99
26,2022-08-03,32.7400016784668,100,3650,47.33000183105469,5,234.85,27.260000228881836,8,200.48,13.399999618530273,30,422.1,18.020000457763672,100,1866,23.760000228881836,0,0.0,27.170000076293945,0,0,47.0099983215332,0,0.0,4.809999942779541,0,0,36.40999984741211,0,0.0,33.849998474121094,0,0.0,17.520000457763672,0,0,6.900000095367432,0,0,6.409999847412109,0,0,67.5199966430664,0,0,2022-08-03,3274.0001678466797,236.65000915527344,218.0800018310547,401.9999885559082,1802.0000457763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5932.730213165283,6373.43,-6.91
27,2022-08-04,32.68000030517578,100,3650,47.18000030517578,5,234.85,28.25,8,200.48,14.930000305175781,30,422.1,17.739999771118164,100,1866,23.350000381469727,0,0.0,27.600000381469727,0,0,48.31999969482422,0,0.0,5.050000190734863,0,0,37.099998474121094,0,0.0,34.209999084472656,0,0.0,18.280000686645508,0,0,7.070000171661377,0,0,6.579999923706055,0,0,67.12999725341797,0,0,2022-08-04,3268.000030517578,235.9000015258789,226.0,447.90000915527344,1773.9999771118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5951.800018310547,6373.43,-6.62
28,2022-08-05,33.599998474121094,100,3650,47.790000915527344,5,234.85,27.469999313354492,8,200.48,14.720000267028809,30,422.1,18.170000076293945,100,1866,24.06999969482422,0,0.0,26.959999084472656,0,0,48.130001068115234,0,0.0,4.860000133514404,0,0,37.790000915527344,0,0.0,34.869998931884766,0,0.0,17.610000610351562,0,0,7.21999979019165,0,0,6.610000133514404,0,0,68.0,0,0,2022-08-05,3359.9998474121094,238.95000457763672,219.75999450683594,441.60000801086426,1817.0000076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6077.309862136841,6373.43,-4.65
29,2022-08-08,34.279998779296875,100,3650,48.58000183105469,5,234.85,27.5,8,200.48,14.710000038146973,30,422.1,18.09000015258789,100,1866,24.649999618530273,100,2412.0,28.219999313354492,0,0,48.290000915527344,0,0.0,4.949999809265137,0,0,38.97999954223633,0,0.0,36.630001068115234,0,0.0,18.190000534057617,0,0,7.210000038146973,0,0,6.610000133514404,0,0,68.58000183105469,0,0,2022-08-08,3427.9998779296875,242.90000915527344,220.0,441.3000011444092,1809.000015258789,2464.9999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8606.199865341187,8785.43,-2.04
30,2022-08-09,34.459999084472656,100,3650,49.06999969482422,5,234.85,26.860000610351562,8,200.48,14.720000267028809,30,422.1,18.170000076293945,100,1866,25.049999237060547,100,2412.0,28.100000381469727,0,0,48.33000183105469,0,0.0,4.920000076293945,0,0,39.630001068115234,0,0.0,37.22999954223633,0,0.0,16.440000534057617,0,0,7.309999942779541,0,0,6.670000076293945,0,0,70.0,0,0,2022-08-09,3445.9999084472656,245.3499984741211,214.8800048828125,441.60000801086426,1817.0000076293945,2504.9999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8669.829851150513,8785.43,-1.32
31,2022-08-10,34.400001525878906,100,3650,49.02000045776367,5,234.85,27.969999313354492,8,200.48,15.109999656677246,30,422.1,18.149999618530273,100,1866,24.799999237060547,100,2412.0,30.209999084472656,0,0,47.97999954223633,0,0.0,5.150000095367432,0,0,39.970001220703125,0,0.0,37.11000061035156,0,0.0,16.219999313354492,0,0,7.170000076293945,0,0,6.449999809265137,0,0,70.05000305175781,0,0,2022-08-10,3440.0001525878906,245.10000228881836,223.75999450683594,453.2999897003174,1814.9999618530273,2479.9999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8657.160024642944,8785.43,-1.46
32,2022-08-11,34.65999984741211,100,3650,49.45000076293945,5,234.85,27.239999771118164,8,200.48,14.470000267028809,30,422.1,18.979999542236328,100,1866,25.360000610351562,100,2412.0,29.809999465942383,0,0,46.959999084472656,0,0.0,4.880000114440918,0,0,41.7400016784668,0,0.0,36.25,0,0.0,15.930000305175781,0,0,7.090000152587891,0,0,6.409999847412109,0,0,72.48999786376953,0,0,2022-08-11,3465.999984741211,247.25000381469727,217.9199981689453,434.10000801086426,1897.9999542236328,2536.0000610351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8799.270009994507,8785.43,0.16
33,2022-08-12,34.79999923706055,100,3650,50.16999816894531,5,234.85,27.690000534057617,8,200.48,14.59000015258789,30,422.1,17.600000381469727,100,1866,25.8700008392334,100,2412.0,30.540000915527344,0,0,46.900001525878906,0,0.0,5.269999980926514,0,0,44.099998474121094,0,0.0,31.709999084472656,0,0.0,14.279999732971191,0,0,7.079999923706055,0,0,6.460000038146973,0,0,69.80000305175781,0,0,2022-08-12,3479.9999237060547,250.84999084472656,221.52000427246094,437.7000045776367,1760.0000381469727,2587.00008392334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8737.070045471191,8785.43,-0.55
34,2022-08-15,33.58000183105469,100,3650,48.869998931884766,5,234.85,28.6299991607666,8,200.48,15.489999771118164,30,422.1,17.15999984741211,100,1866,25.329999923706055,100,2412.0,30.219999313354492,0,0,48.68000030517578,0,0.0,5.210000038146973,0,0,42.9900016784668,0,0.0,31.719999313354492,0,0.0,15.0,0,0,6.989999771118164,0,0,6.449999809265137,0,0,68.30000305175781,0,0,2022-08-15,3358.0001831054688,244.34999465942383,229.0399932861328,464.6999931335449,1715.999984741211,2532.9999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8545.090141296387,8785.43,-2.74
35,2022-08-16,33.369998931884766,100,3650,49.90999984741211,5,234.85,28.059999465942383,8,200.48,15.380000114440918,30,422.1,16.40999984741211,100,1866,24.31999969482422,100,2412.0,29.59000015258789,0,0,48.439998626708984,0,0.0,5.190000057220459,0,0,43.20000076293945,0,0.0,32.0099983215332,0,0.0,14.680000305175781,0,0,6.920000076293945,0,0,6.489999771118164,0,0,69.81999969482422,0,0,2022-08-16,3336.9998931884766,249.54999923706055,224.47999572753906,461.40000343322754,1640.999984741211,2431.999969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8345.429845809937,8785.43,-5.01
36,2022-08-17,33.63999938964844,100,3650,51.0,5,234.85,27.649999618530273,8,200.48,15.300000190734863,30,422.1,16.25,100,1866,24.34000015258789,100,2412.0,30.06999969482422,0,0,49.599998474121094,0,0.0,5.28000020980835,0,0,42.810001373291016,0,0.0,32.7599983215332,0,0.0,14.3100004196167,0,0,7.230000019073486,0,0,6.659999847412109,0,0,68.2300033569336,0,0,2022-08-17,3363.9999389648438,255.0,221.1999969482422,459.0000057220459,1625.0,2434.000015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8358.19995689392,8785.43,-4.86
37,2022-08-18,35.130001068115234,100,3650,50.63999938964844,5,234.85,27.649999618530273,8,200.48,15.020000457763672,30,422.1,16.020000457763672,100,1866,24.639999389648438,100,2412.0,31.079999923706055,0,0,49.41999816894531,0,0.0,5.090000152587891,0,0,41.81999969482422,0,0.0,33.41999816894531,0,0.0,15.069999694824219,0,0,7.110000133514404,0,0,6.619999885559082,0,0,67.72000122070312,0,0,2022-08-18,3513.0001068115234,253.1999969482422,221.1999969482422,450.60001373291016,1602.0000457763672,2463.9999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8504.000099182129,8785.43,-3.2
38,2022-08-19,34.83000183105469,100,3650,49.970001220703125,5,234.85,27.1299991607666,8,200.48,14.130000114440918,30,422.1,15.649999618530273,100,1866,23.969999313354492,176,4524.8,30.799999237060547,20,617,48.16999816894531,28,1354.08,4.849999904632568,0,0,41.04999923706055,0,0.0,31.729999542236328,0,0.0,14.470000267028809,0,0,7.110000133514404,0,0,6.559999942779541,0,0,66.95999908447266,0,0,2022-08-19,3483.0001831054688,249.85000610351562,217.0399932861328,423.90000343322754,1564.9999618530273,4218.719879150391,615.9999847412109,1348.7599487304688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12122.269960403442,12869.31,-5.8
39,2022-08-22,34.22999954223633,100,3650,48.72999954223633,5,234.85,26.56999969482422,8,200.48,14.069999694824219,30,422.1,15.5,100,1866,23.420000076293945,176,4524.8,30.100000381469727,20,617,47.58000183105469,28,1354.08,4.849999904632568,0,0,41.470001220703125,0,0.0,32.40999984741211,0,0.0,14.010000228881836,0,0,7.119999885559082,0,0,6.599999904632568,0,0,65.9800033569336,0,0,2022-08-22,3422.999954223633,243.64999771118164,212.55999755859375,422.09999084472656,1550.0,4121.920013427734,602.0000076293945,1332.2400512695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11907.470012664795,12869.31,-7.47
40,2022-08-23,36.310001373291016,100,3650,49.5099983215332,5,234.85,27.0,8,200.48,14.350000381469727,30,422.1,15.760000228881836,100,1866,25.110000610351562,176,4524.8,30.479999542236328,20,617,47.61000061035156,28,1354.08,5.019999980926514,0,0,41.52000045776367,0,0.0,33.439998626708984,0,0.0,14.770000457763672,0,0,7.139999866485596,0,0,6.650000095367432,0,0,70.20999908447266,0,0,2022-08-23,3631.0001373291016,247.54999160766602,216.0,430.5000114440918,1576.0000228881836,4419.360107421875,609.5999908447266,1333.0800170898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12463.090278625488,12869.31,-3.16
41,2022-08-24,36.81999969482422,100,3650,47.90999984741211,5,234.85,27.229999542236328,8,200.48,14.600000381469727,30,422.1,16.5,100,1866,25.979999542236328,176,4524.8,30.90999984741211,20,617,47.47999954223633,28,1354.08,5.090000152587891,0,0,40.83000183105469,0,0.0,33.63999938964844,0,0.0,16.0,0,0,7.139999866485596,0,0,6.639999866485596,0,0,67.94999694824219,0,0,2022-08-24,3681.999969482422,239.54999923706055,217.83999633789062,438.0000114440918,1650.0,4572.479919433594,618.1999969482422,1329.4399871826172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12747.509880065918,12869.31,-0.95
